id,revenue_str,contact_email,fname,lname,phone_num
9c82b24c-2877-42c2-a6a2-70f3885e1d31,11564.30,wcabrera@example.net,Stacey,Miller,001-822-778-2489x63834
d2ed2bc8-85c4-4079-a0d8-0e740830fc38,8306.09,jeffreymorgan@example.net,Rachel,Hayes,+1-239-730-1031
3200b5b0-7162-4924-a708-b8a910e983f6,2542.09,ilewis@example.net,Willie,Ramirez,001-897-737-6311
31fb3809-0ded-4a28-ae6a-932fcccff107,1660.09,nuneztracey@example.org,Robert,Shields,4658133387
b861e15e-937c-4ae1-aeac-152b1c4a8dc1,7840.48,ramosmichelle@example.net,Joshua,Wright,908-501-3267
42375316-9a84-4841-a3f8-c166584c8bc6,1290.12,gallowayjoseph@example.com,Rachel,Martin,268-272-3430x9805
28f70b22-694f-4ea6-a824-46cd5acf2e4f,2740.73,brianromero@example.org,Thomas,Calhoun,291-336-1939
deeb09d8-37fe-4c37-a288-65478de9a882,8361.96,sarah35@example.org,Diane,Cunningham,362-547-5107x991
cd568a51-3a46-468b-a329-ff19e778f501,3091.57,suarezmike@example.org,Joseph,Mahoney,384.498.0841x241
dd9e1dca-0f78-4305-a9b4-355ec562efa1,4586.12,james48@example.com,Juan,Clark,801-264-0052x427
ecc0040a-de88-4b82-abf7-5a95cdee432f,5670.73,amydavenport@example.net,Charles,Ware,+1-526-520-4505
dc8bca1d-d1a1-44f7-a733-716081fe0eb1,17291.61,vdickson@example.org,Michael,Castro,622.460.2563
9a498078-f9fe-4ee6-a6ca-fecd1b446456,4788.45,dwalker@example.com,Patrick,Williams,733-203-6541x4586
a3aaff48-bcda-4184-af71-1957181742c7,10511.89,benjamin96@example.com,Natalie,Green,001-556-798-1693x4060
142aa2cc-a993-43e5-a52e-750e5fe63b02,3965.81,cindy14@example.net,Chad,Beck,665-864-8236x6299
88f257c4-291c-47b5-af86-c291b568b0cf,7802.98,russellcarpenter@example.net,Martha,Torres,577-673-8721x48951
96d79886-a59b-48fa-afe3-c3144ebecfcc,9325.30,sanchezthomas@example.org,Lindsay,Hernandez,569.436.7632x016
b14f5282-cf3f-458c-a10b-8207c636c1c3,5749.09,bryantlaurie@example.net,Steven,Grant,589.657.9868x72774
df849b97-440b-48c3-ad10-8b91f8cc5515,4585.50,sjones@example.org,Todd,Allen,855-881-2236x231
9deb8d8d-6ac0-4ee7-ab9b-8dd5211ed802,7172.24,marissaprice@example.net,Amy,Perry,001-509-967-0546x688
39b96335-a1f2-4d06-a53d-c53a68e0bb99,1113.46,rrogers@example.com,Joshua,Tucker,001-427-929-8069x9016
39206b9a-0b6f-4705-a0b6-d22c4efa149d,4482.52,shawnrogers@example.com,Brent,Gray,264-517-0805x310
e0d43681-e1ee-4f6f-a2ba-0d216cb5fffa,4551.59,davidcaldwell@example.net,Mary,Howell,674.352.9912
6b4b982c-ae98-4ae3-a9f7-9cc8ec247aa7,8335.37,tsanders@example.org,Anthony,Collins,793-814-9190
53f5ceef-a1e7-4d05-abf3-f4676e84ccb6,1807.63,atkinsonlynn@example.org,Casey,Holland,(657)726-2849x87769
663649ed-5b9b-43aa-a4d3-ed69c07b0025,5218.33,dsanchez@example.net,Mariah,Miller,+1-665-607-5273x545
45132b4e-f2f7-4240-ab72-3899fb3d0237,3256.92,allenrichard@example.net,Alejandro,Vaughan,001-937-777-0143x63495
82f1f9e6-f4be-4a71-af9e-807866d981c2,5031.32,jacqueline44@example.com,Wendy,Pierce,913.651.8233
177e363f-807b-41eb-a47a-5e92c213c7f1,4176.14,kennethward@example.com,Candice,Hooper,9823400842
d56fdad6-60eb-4419-a3b6-2da18ca52275,3860.88,dpeterson@example.com,Audrey,Harrison,511.367.1902x2941
415b6990-d066-4bd4-a788-01ff6c0be6a6,9926.17,kimberlyjames@example.com,Kathy,Obrien,496-549-9091x3341
81c0df43-5a84-4f43-af93-31fc45954f5d,9050.48,mhayes@example.com,Andrea,Moore,503-444-7134x9361
085c0f4e-0ab0-4289-ab87-aee84926c399,4596.34,lauralarson@example.net,Margaret,Jones,271-874-6488x7719
b82d395d-3ef4-4fee-af49-48a32fde8c4a,1894.85,suzannehuff@example.net,Cassandra,Johnson,001-604-490-2787
eb5b9d11-9705-42b6-a303-fd00636c9c55,2498.21,harrisonricky@example.com,Ryan,Olsen,+1-712-356-7468x07154
990cf566-7659-4327-a78b-36e8d3ccab83,5187.25,sandovalamy@example.com,Michelle,Bryan,6384597703
6daab15a-cc4b-4aa3-acf6-04fb20dc5737,8205.39,johnsoncrystal@example.org,Samuel,Wolfe,001-424-980-8613x171
44d556a9-f5a3-436d-a1bb-44e7aaf5f686,7188.05,pbaird@example.com,William,Hill,+1-826-739-8214
887bb145-5f56-4a20-a574-6b1dcd53afc0,8717.64,mary97@example.org,Joseph,Smith,887.555.8867x533
43474fcb-f384-475f-a8d6-9ea8657fb4b4,11477.13,qhughes@example.net,Bradley,Garner,(370)928-9517
49b4332c-d0bd-4973-a2dd-e865cfba57d9,10871.55,charlesharrington@example.com,Jennifer,Ortiz,696-515-8657x80913
d0daf99d-d026-42b8-a20e-998eb0ad251b,12277.51,wallaceheather@example.org,Ryan,Garcia,8504455623
