campaign_id,lead_email,lead_phone,full_name
CAMP_2024_01,wcabrera@example.net,001-822-778-2489x63834,Stacey Miller
CAMP_2024_01,jeffreymorgan@example.net,+1-239-730-1031,Rachel Hayes
CAMP_2024_01,ilewis@example.net,001-897-737-6311,Willie Ramirez
CAMP_2024_01,nuneztracey@example.org,4658133387,Robert Shields
CAMP_2024_01,ramosmichelle@example.net,908-501-3267,Joshua Wright
CAMP_2024_01,gallowayjoseph@example.com,268-272-3430x9805,Rachel Martin
CAMP_2024_01,brianromero@example.org,291-336-1939,Thomas Calhoun
CAMP_2024_01,sarah35@example.org,362-547-5107x991,Diane Cunningham
CAMP_2024_01,suarezmike@example.org,384.498.0841x241,Joseph Mahoney
CAMP_2024_01,james48@example.com,801-264-0052x427,Juan Clark
CAMP_2024_01,amydavenport@example.net,+1-526-520-4505,Charles Ware
CAMP_2024_01,vdickson@example.org,622.460.2563,Michael Castro
CAMP_2024_01,dwalker@example.com,733-203-6541x4586,Patrick Williams
CAMP_2024_01,benjamin96@example.com,001-556-798-1693x4060,Natalie Green
CAMP_2024_01,cindy14@example.net,665-864-8236x6299,Chad Beck
CAMP_2024_01,russellcarpenter@example.net,577-673-8721x48951,Martha Torres
CAMP_2024_01,sanchezthomas@example.org,569.436.7632x016,Lindsay Hernandez
CAMP_2024_01,bryantlaurie@example.net,589.657.9868x72774,Steven Grant
CAMP_2024_01,sjones@example.org,855-881-2236x231,Todd Allen
CAMP_2024_01,marissaprice@example.net,001-509-967-0546x688,Amy Perry
CAMP_2024_01,rrogers@example.com,001-427-929-8069x9016,Joshua Tucker
CAMP_2024_01,shawnrogers@example.com,264-517-0805x310,Brent Gray
CAMP_2024_01,davidcaldwell@example.net,674.352.9912,Mary Howell
CAMP_2024_01,tsanders@example.org,793-814-9190,Anthony Collins
CAMP_2024_01,atkinsonlynn@example.org,(657)726-2849x87769,Casey Holland
CAMP_2024_01,dsanchez@example.net,+1-665-607-5273x545,Mariah Miller
CAMP_2024_01,allenrichard@example.net,001-937-777-0143x63495,Alejandro Vaughan
CAMP_2024_01,jacqueline44@example.com,913.651.8233,Wendy Pierce
CAMP_2024_01,kennethward@example.com,9823400842,Candice Hooper
CAMP_2024_01,dpeterson@example.com,511.367.1902x2941,Audrey Harrison
CAMP_2024_01,kimberlyjames@example.com,496-549-9091x3341,Kathy Obrien
CAMP_2024_01,mhayes@example.com,503-444-7134x9361,Andrea Moore
CAMP_2024_01,lauralarson@example.net,271-874-6488x7719,Margaret Jones
CAMP_2024_01,suzannehuff@example.net,001-604-490-2787,Cassandra Johnson
CAMP_2024_01,harrisonricky@example.com,+1-712-356-7468x07154,Ryan Olsen
CAMP_2024_01,sandovalamy@example.com,6384597703,Michelle Bryan
CAMP_2024_01,johnsoncrystal@example.org,001-424-980-8613x171,Samuel Wolfe
CAMP_2024_01,pbaird@example.com,+1-826-739-8214,William Hill
CAMP_2024_01,mary97@example.org,887.555.8867x533,Joseph Smith
CAMP_2024_01,qhughes@example.net,(370)928-9517,Bradley Garner
CAMP_2024_01,charlesharrington@example.com,696-515-8657x80913,Jennifer Ortiz
CAMP_2024_01,wallaceheather@example.org,8504455623,Ryan Garcia
CAMP_2024_01,pharvey@example.com,001-623-474-7407,Gregory Lynch
CAMP_2024_01,danielle64@example.com,836-671-3695x9440,Scott Reed
CAMP_2024_01,lozanojulie@example.com,001-739-453-3942x10470,Ashlee Jennings
CAMP_2024_01,ithompson@example.net,(488)542-4745x171,Renee Murphy
CAMP_2024_01,christopher60@example.com,+1-517-954-9651,Tammy Ballard
CAMP_2024_01,rose31@example.net,446.812.0047x113,Christine Hahn
CAMP_2024_01,umatthews@example.org,(717)796-4053x77351,Nathan Avery
CAMP_2024_01,rushmadison@example.org,+1-539-500-5329x31839,Raymond Lopez
CAMP_2024_01,ramireztracey@example.org,+1-742-210-2053,Kim Kramer
CAMP_2024_01,vfox@example.org,975.289.1783x9084,Joseph Martinez
CAMP_2024_01,fparks@example.net,711.859.2124x998,Yolanda Boone
CAMP_2024_01,sgarcia@example.org,+1-883-767-3657x6615,Kenneth Wagner
CAMP_2024_01,fjones@example.org,(215)628-0988x51656,Nicholas Hernandez
CAMP_2024_01,ericolson@example.org,(285)614-9368x998,Michael Lane
CAMP_2024_01,sandra50@example.org,(896)812-0183,Henry Park
CAMP_2024_01,kimberly99@example.org,9229901476,Matthew Wood
CAMP_2024_01,reeddaniel@example.net,+1-497-684-0369x00343,Joshua Fischer
CAMP_2024_01,ythompson@example.net,001-738-885-1606x071,Mark Smith
CAMP_2024_01,darius05@example.org,+1-875-616-1369x681,Richard Bowman
CAMP_2024_01,dixondaniel@example.net,455.423.1243,Jeffrey Maxwell
CAMP_2024_01,kmarshall@example.net,299.755.2717x744,Gregory Mejia
CAMP_2024_01,brownmarie@example.org,+1-719-998-6798x0793,Charles Murray
CAMP_2024_01,shepherdmary@example.net,482-703-7788,Edward Brown
CAMP_2024_01,erika05@example.org,818-464-4925x19254,Samantha Hughes
CAMP_2024_01,lisa81@example.net,+1-468-350-5423x57332,Kyle Bennett
CAMP_2024_01,stanleynancy@example.net,(296)822-2927,Megan Garcia
CAMP_2024_01,wbishop@example.net,838.834.7359x774,Erica Young
CAMP_2024_01,moniquewilliams@example.com,(881)381-4124x782,Lisa Solis
CAMP_2024_01,old_perryrandy@example.com,,Lisa Wilkerson
CAMP_2024_01,old_katherineharrison@example.net,,Justin Gallegos
CAMP_2024_01,old_robertbauer@example.com,,John Martinez
CAMP_2024_01,old_qlopez@example.org,,Aaron Gomez
CAMP_2024_01,old_ingramjill@example.com,,Kristina Cooper
CAMP_2024_01,old_ninastewart@example.com,,Benjamin Harris
CAMP_2024_01,old_tylerjimenez@example.net,,Patricia Hughes
CAMP_2024_01,old_hannahbell@example.org,,Sean Robbins
CAMP_2024_01,old_michael90@example.net,,Carlos Osborne
CAMP_2024_01,old_johnsonjacob@example.net,,Debra Wright
CAMP_2024_01,johnsonjoshua@example.org,(518)519-6001,Alyssa Gonzalez
CAMP_2024_01,lrobinson@example.com,3268542351,Ryan Munoz
CAMP_2024_01,blairamanda@example.com,584-695-9310,Dr. Sharon James
CAMP_2024_01,xreid@example.org,(653)541-9283x276,Sarah Parsons
CAMP_2024_01,lydiatrujillo@example.com,513-695-3767x242,Jessica Silva
CAMP_2024_01,jeffrey28@example.com,801-922-6916,Tricia Valencia
CAMP_2024_01,frazierdanny@example.net,001-645-514-6270x48281,Phillip Ryan
CAMP_2024_01,georgetracy@example.org,(443)903-9117x182,Carmen Rose
CAMP_2024_01,ibrandt@example.net,001-734-265-7871x331,Crystal Robinson
CAMP_2024_01,zimmermanbrian@example.org,4519834738,John Russell
CAMP_2024_01,davisryan@example.com,(870)410-6513x33872,David Leblanc
CAMP_2024_01,jmorton@example.org,5808132677,Carmen Smith
CAMP_2024_01,ybaker@example.com,268-272-3430x9805,Kathryn Farrell
CAMP_2024_01,brianromero@example.org,291-336-1939,Kevin Mills
CAMP_2024_01,james53@example.com,(524)675-1079x9118,Gregory Jones
CAMP_2024_01,mikemoore@example.net,001-449-680-8412x411,Daniel Cooper
CAMP_2024_01,william40@example.org,+1-264-300-5242x7868,Stephen Mckee
CAMP_2024_01,davenportbrandi@example.org,(420)545-0533x15869,Vanessa Cochran
CAMP_2024_01,vjohnson@example.com,(534)221-6073x37543,Jennifer Ramirez
CAMP_2024_01,rasmussenjoshua@example.net,768.750.1429x40196,William Wilson
